title,id,genres,keywords
Four Rooms,5,"['Crime', 'Comedy']","['hotel', ""new year's ev"", 'witch', 'bet', 'hotel room', 'antholog', 'los angeles, california', 'hoodlum', 'woman director']"
Judgment Night,6,"['Action', 'Thriller', 'Crime']","['chicago, illinoi', 'drug deal', 'escap', 'one night', 'box']"
Star Wars,11,"['Adventure', 'Action', 'Science Fiction']","['android', 'galaxi', 'death star', 'lightsab', 'jedi', 'rescue miss', 'empir', 'rebellion', 'planet', 'the forc', 'space opera', 'stormtroop', 'totalitarian']"
Finding Nemo,12,"['Animation', 'Family']","['parent child relationship', 'computer anim', 'anthropomorph', 'underwat', 'shark', 'sea turtl', 'aftercreditssting', 'duringcreditssting', 'protective fath']"
Forrest Gump,13,"['Comedy', 'Drama', 'Romance']","['vietnam veteran', 'hippi', 'washington d.c.', 'mentally dis', 'based on novel or book', 'parent child relationship', 'vietnam war', 'friendship', 'love', 'family relationship', 'militari', 'wounded soldi', 'false histori', 'tragicomedi']"
American Beauty,14,['Drama'],"['adulteri', 'parent child relationship', 'midlife crisi', 'coming out', 'first tim', 'camcord', 'virgin', 'estate ag', 'cheerlead', 'satir', 'loneli', 'dark comedi', 'suburbia', 'coming of ag', 'marijuana', 'exercis', 'extramarital affair', 'closeted homosexu', 'gay']"
Citizen Kane,15,"['Mystery', 'Drama']","['journalist', 'newspap', 'florida', 'money', 'black and whit', 'child']"
Dancer in the Dark,16,"['Drama', 'Crime']","['individu', 'danc', 'robberi', 'factory work', 'secret', 'small town', 'blindness and impaired vis', 'immigr', 'eye oper', 'naiveti', 'hereditary diseas', 'dying and death', 'debt', 'police offic']"
The Fifth Element,18,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['new york c', 'flying car', 'clone', 'taxi', 'cyborg', 'egypt', 'futur', 'space travel', 'race against tim', 'arms deal', 'love', 'alien', 'priest', 'end of the world', 'shootout', 'police chas', 'cab driv', 'cult film', 'archaeologist', 'space opera', 'militari', 'opera sing', 'cruise lin']"
Pirates of the Caribbean: The Curse of the Black Pearl,22,"['Adventure', 'Fantasy', 'Action']","['exotic island', 'east india trading compani', 'gold', 'jamaica', 'skeleton', 'british empir', 'governor', 'pirat', 'swashbuckl', '18th centuri', 'caribbean sea', 'aftercreditssting', 'pirate ship', 'british navi']"
Kill Bill: Vol. 1,24,"['Action', 'Crime']","['japan', 'coma', 'martial art', 'kung fu', 'asia', 'underworld', 'yakuza', 'sword', 'bride', 'reveng', 'animated scen', 'wed']"
Jarhead,25,"['Drama', 'War']","['gulf war', 'marine corp', 'petrol', 'kuwait', 'based on memoir or autobiographi', 'u.s. marin', 'anti war']"
9 Songs,27,"['Drama', 'Music', 'Romance']","['london, england', ""rock 'n' rol"", 'concert', 'sexual fantasi', 'coupl', 'desir']"
Apocalypse Now,28,"['Drama', 'War']","['cia', 'drug abus', 'journalist', 'based on novel or book', 'guerrilla', 'vietnam', 'vietnam war', 'vietcong', 'secret miss', 'armi', 'insan', 'epic', 'surreal', 'tribe', 'mission', 'jungl', 'descent into mad', 'brutal', 'militari', 'anti war']"
Unforgiven,33,['Western'],"['prostitut', 'sheriff', 'regret', 'wyom', 'right and justic', 'kansa', 'reveng', 'mutil', 'reput', '19th centuri', 'pig farm']"
The Simpsons Movie,35,"['Animation', 'Comedy', 'Family']","['parent child relationship', 'garbag', 'pollut', 'environmental protection ag', 'quarantin', 'dysfunctional famili', 'dysfunctional marriag', 'ecolog', 'first lov', 'duringcreditssting']"
Eternal Sunshine of the Spotless Mind,38,"['Science Fiction', 'Drama', 'Romance']","['deja vu', 'regret', 'jealousi', 'amnesia', 'dream', 'oper', 'relationship problem', 'love', 'memori', 'brainwash', 'relationship', 'nonlinear timelin', 'tragicomedi']"
Pirates of the Caribbean: Dead Man's Chest,58,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune tel', 'bondag', 'exotic island', 'monster', 'captain', 'east india trading compani', 'ship', 'daughter', 'sword fight', 'pirat', 'cannib', 'swashbuckl', 'aftercreditssting']"
